,id,text,report
0,1325867685805240326,@stbailey7 @Fact It's true..it predisposes them to breast cancer,0
0,1325867704818020352,"@PunkiDaisyl6 It's funny. We no longer see the word woman when we're talking about; cervical cancer, ovarian cancer, menstruation,  menopause,  breast cancer, womb cancer. In fact, this is the first time I've seen it for a while. Discussing a woman's penis.  Of course.",0
0,1325867721041584134,"RT @jhopestudio: Hoseok wore a shirt that’s part of a breast cancer awareness campaign, bought KAWS figure in Support of BLM, bought animal…",0
0,1325867738808549376,"RT @jhopestudio: Hoseok wore a shirt that’s part of a breast cancer awareness campaign, bought KAWS figure in Support of BLM, bought animal…",0
0,1325867748203827203,Help join our fight against breast cancer!!💙💙,0
0,1325867799546355713,The Role of PPAR3B3 Ligands in Breast Cancer: From Basic Research to Clinical Studies https://t.co/VxNFwGAUEz,0
0,1325867804839587840,"Help us fight against Breast Cancer by donating, any amount is appreciated🤍🤍",0
0,1325867814062854144,"@followgain0 @MilitoBrown1 Breast cancer occurs mainly in women, but men can get it, too. Many people do not realize that men have breast tissue and that they can develop breast cancer. Cells in nearly any part of the body can become cancer and can spread to other areas.
@KenyaWhis 
@Whis",0
0,1325867840977719296,any and every amount helps 💕💙,0
0,1325867885768695810,"@MilitoBrown1 Breast cancer occurs mainly in women, but men can get it, too. Many people do not realize that men have breast tissue and that they can develop breast cancer. Cells in nearly any part of the body can become cancer and can spread to other areas.
@KenyaWhis 
@Whis",0
0,1325867888360742912,"@RodentStill A friend's 75 year old mother came to the USA from England to live with her. She went the hospital here, got a free mammogram and breast cancer was discovered and treated. She's fine now. She said England's social healthcare doesn't give mammograms to women over 70.",0
0,1325867918056448000,RT @kiaradestiny_: Fighting against breast cancer at all times!!! Any donation is truly appreciated 💓💓💙💙,0
0,1325867935211155459,"RT @tyrarivera_: Help us fight against Breast Cancer by donating, any amount is appreciated🤍🤍",0
0,1325867944182681600,RT @UzochiOnwukwe: Hit up any of your favorite Zetas to donate!! 💙💙,0
0,1325867955951955975,RT @DebbraShae: any and every amount helps 💕💙,0
0,1325867974633385984,RT @_DannaIvana: Everyone be sure to participate! Any and every amount is greatly appreciated! 💙💪🏾,0
