,id,text,report
0,1325872458289836034,"@MargrainLynda @EndUKLockdown1 Tyranny, who's the fool. This thread has hurled abuse at people and I am using these e.g. for people to get real. I'm out of hospital again I've had breast cancer, mastectomy, chemo, breast reconstruction and now further surgery to stop tamoxifen giving me endometrial cancer.",1
0,1325961345569845248,"@alliemarie777 @dvanduzer001 As a breast cancer survivor please let me know if you want any information on holistic ideas. On my 7th year and changed my diet and take certain supplements. Please let me know if you want info. You are in my prayers. Remember whatever you hear, you have options.",1
0,1326195589206454277,"Thank you @MiamiDolphins! As a stage 3 breast cancer survivor for under 2 years, this might help me survive more than 5 years #fuckcancer",1
0,1326200133739028480,I’ve been contemplating getting a breast reduction once I lose 60 pounds. I’m tired of the back pain.,1
0,1326205373070630914,@themouthyoufeed FYI I’ve been through a breast cancer scare and suffer with CFS so you’re the pathetic asshole here that thinks YOURE the only person that matters but you don’t. I see now that no one will ever call you a gift because you’re trash.,1
0,1326207483967381504,"@ChrisMurphyCT They don't get it. I watched my mother be diagnosed with metastatic breast cancer, go through chemo/radiation and then more chemotherapy. Do these people realize that one treatment of chemotherapy costs any where from 1,000 to 10,000 depending on the medication?",1
0,1326208200241115136,"@mhschrader @Jyggazaam @DOTsGtGrandbaby @Kauairockchick @RadioFreeTom @ccrnbw I’ve had breast cancer with no health ins, sorry if my tone offends your delicate sensibilities.",1
0,1326208847296475136,"@arcticllama First diagnosis breast cancer 2015, recurrence dx 2019, currently cancer-free 17 months.

You get a version of your life back, but cancer changes you. You are never, ever the same. That's not a bad thing, though, because the new you is a total badass.",1
0,1326214733528248327,"Breast cancer is so common in my family that if something ever happens to these girls I’m chopping them off. I have zero emotional attachment to them. 

All they’ve ever done is made people look at me weird and caused me back pain. I can stand to lose the extra 30 lbs.",1
0,1326219553882468354,@steve_vladeck Good to hear! I am a stage 3 breast cancer survivor on the ACA and have been scared.,1
0,1326222872633860096,"@erianna97 She was diagnosed with early stage 3 breast cancer earlier this year, so she had a double mastectomy done. We still have a ways to go until she's better, but she's not in much pain right now and seems optimistic. She's a fighter.",1
0,1326237058717929473,"In 1994 I had a lump in my chest which turned out to be stage 3 breast cancer, yes men can get it, after a year of chemo and radiation I was clear. Get tested, if positive stay strong and fight.",1
0,1326241158486401025,"@dee30328 @muckystar_77 @Dogger6337 @cnnbrk Sorry! I’m NOT!   I’m a breast cancer survivor. With that dictator’s new tax laws. I can’t claim all my medical expenses; which is 13k a year. Before that dictator., I claimed all my expenses. My income has NOT changed under him! He f my taxes!!",1
