,id,text,report
0,1323493920400117761,"@AbuRaziel @itsJeffTiedrich Hello, I am touching good hearts, I am from Venezuela, have breast cancer and I must ha… https://t.co/ba5PEUa0Sl",noReport
0,1323493949756100608,RT @Maqhawe_Ngubane: We translate things!👇🏿👇🏿👇🏿 https://t.co/ETruc0mLLv,noReport
0,1323494203314348033,"RT @Maqhawe_Ngubane: Our most recent work includes translating;

√. Medical notices/ads (Breast cancer awareness campaign)
√. Examination p…",noReport
0,1323494223820300289,RT @sweetpeafoodie: @ChaseArmy1,noReport
0,1323494668030627840,"RT @Breastcancerorg: ""Stage IV metastatic breast cancer is forgotten and unspoken. It's seen as the scary cancer. But for the five years I'…",noReport
0,1323494722493542402,"RT @meg_Y12: From an American friend receiving treatment for advanced breast cancer in Italy. 

“Today I had an appointment and as we were…",noReport
0,1323494784938450944,RT @tangfield_dick: My wife has been battling metastatic breast cancer for 8 yrs. She has breathing issues due to the fluid retention from…,noReport
0,1323495011212734464,Enter to #win a $10 Paypal Cash #Giveaway https://t.co/R0raLjVXdG https://t.co/o3PjETNCrd,noReport
0,1323495144440692737,"Women with secondary breast cancer 'ignored' by charities and NHS
https://t.co/urIw3Ldn0t",noReport
0,1323495166771122177,RT @Rs_annan: Them for start dey inspect medical licenses for Ghana here.,noReport
0,1323495620712239104,RT @EvilKeanu: @TwlvRnds @MrTwelveRounds Dude breast cancer awareness was last month 🙄. I’ll take 2! https://t.co/CUx3bPUzAs,noReport
0,1323495637908795392,Enter to #win a $10 Paypal Cash #Giveaway https://t.co/7qZLFJatpP https://t.co/HoMjZnWo7X,noReport
0,1323495673568894976,"That article reminds me we have lost 2 females to breast Cancer in my family.

I've tried to overcome the fear that… https://t.co/OWgCACfYzD",noReport
0,1323495714190745601,RT @elaing8: Enter to #win a $10 Paypal Cash #Giveaway https://t.co/R0raLjVXdG https://t.co/o3PjETNCrd,noReport
0,1323495751847206913,"RT @JCRnEDITORS: pH-Activatable cell penetrating peptide dimers for potent delivery of anticancer drug to triple-negative breast cancer.
|…",noReport
0,1323495886505287680,"RT @Bintur_Rasheed: That article reminds me we have lost 2 females to breast Cancer in my family.

I've tried to overcome the fear that I m…",noReport
0,1323495886509531136,"Irene Kral was an American Jazz vocalist, who was born on the 18th January 1932 in Chicago, and died from breast ca… https://t.co/aDsZ2Bpty6",noReport
0,1323495903559405568,RT @Nikhilwagle: Join me this Wed 1-2p ET for the 2020 EMBRACE Metastatic Breast Cancer Virtual Forum Series - where I’ll be speaking about…,noReport
0,1323495913638318080,RT @EvilKeanu: @TwlvRnds @MrTwelveRounds Dude breast cancer awareness was last month 🙄. I’ll take 2! https://t.co/CUx3bPUzAs,noReport
0,1323495990586822656,#savemen,noReport
0,1323496022887206912,"RT @vaastavngo: #NoShaveNovember 
#Movember 

#SaveMen from #ProstateCancer 

More men are getting killed due to prostate cancer compared t…",noReport
0,1323496041170247681,really appreciate anyone who is able to donate to a family friend's GoFundMe. Nadine is currently doing her best to… https://t.co/iVifczOiG2,noReport
0,1323496073634050048,RT @RajNgc: @vaastavngo @sifchandigarh @Raageshwari1 @DaamanNGO @InsaafNGO @SFFNGO @SIFChtg @SIFHyderabad @sifngp @SIFKtka #NoShaveNovember…,noReport
0,1323496463515541504,@SonuSood @IlaajIndia @GovindAgarwal_,noReport
